Ann_short_1	Ann_short_2	Ann_short_3	Ann_short_4	Ann_short_5	Ann_short_6	Ann_short_7	Ann_short_8	Ann_short_9	Ann_short_10
320042B1	0.618830207854708	0.899608926998116	0.9527239396724	1	0.952864879035107	0.935070858603693	0.633533914607861	0.680993491142088	0.433607757404577	0.308260220763334
320043B1	0.520577270750576	0.705586218646052	0.791916891553652	0.837813510935912	0.897147268412465	1	0.742372800237374	0.768685708014736	0.899349006708533	0.870671776284769
320044B1	0.675264351323659	0.837116218583193	0.978079115080435	0.979079764325041	0.989682256552952	1	0.705936980694264	0.773330546503348	0.661817419192682	0.550619829852743
320045B1	0.475434103522148	0.651186061037016	0.724927294180358	0.879814701762027	0.839123890415825	0.889997153028036	0.768013481137681	0.789507500515003	0.977213636723498	1
320046B1	0.600905569195325	0.782748269824825	0.86590119210959	0.945437676878409	0.930827007677155	1	0.760421778181613	0.825993480729613	0.85684994893765	0.840642730294247
320047B1	0.738373820942744	0.998883748342311	0.948102285299351	1	0.850920633156843	0.955370766623779	0.809326865373533	0.53205136031592	0.540868127809942	0.409306089437441
320048B1	0.578795965820538	0.760916199023017	0.832614727356084	0.901948617739293	0.930104902958458	1	0.751034009835798	0.781444074072173	0.844428426100022	0.786915808099583
320049B1	0.70074301033969	0.879984892868373	0.965936653130487	1	0.999704216917993	0.994293689589645	0.752444227160708	0.756142906701341	0.645359700511334	0.550153062126972
320050B1	0.590378816771505	0.797571418688822	0.895289144512957	0.891850932699109	0.946484424439605	1	0.706998140303226	0.755481659655467	0.698928633340407	0.610747347267505
320051B1	0.575984925202629	0.804043138349595	0.883367040775739	0.8649301114314	0.940063663752967	1	0.685670748513892	0.718989704076982	0.684992623030313	0.585557861002715
320052B1	0.680997636796712	0.885820460976117	0.985476451861085	0.995152525327213	0.995689906357941	1	0.732649657814515	0.782087879019221	0.62208684509454	0.530579275285237
320053B1	0.705336974031127	0.903060055810361	0.967553190469178	1	0.986214917053034	0.963994292923204	0.737245933713853	0.771050053790883	0.637372798665364	0.542588987908368
420054B1	0.62211116825394	0.833314046157795	0.902668358257636	0.967190054734602	0.980996725906513	1	0.719800773638486	0.823005540343077	0.727760298879133	0.634024955194211
420055B1	0.586425573218783	0.777944912644501	0.889935050337549	0.962594746372303	0.978254254289843	1	0.778829584576732	0.841079576610783	0.864180371119427	0.809941243605277
420056B1	0.572138241923039	0.780500275417959	0.857769054982347	0.938059802873784	0.962779510185286	1	0.748302040587531	0.845730601338029	0.803889665959228	0.714989246324572
420057B1	0.573332715017033	0.76466090674222	0.860300501910746	0.884971823958608	0.921097560833106	1	0.716940341940239	0.746309079811479	0.649818978768108	0.547596074113743
420058B1	0.553405486537741	0.730395644143077	0.815884505447796	0.981598185726745	0.987333070848659	1	0.790356920352389	0.818805850041572	0.740663774536106	0.645087499681198
