id	Ann_short_1	Ann_short_2	Ann_short_3	Ann_short_4	Ann_short_5	Ann_short_6	Ann_short_7	Ann_short_8	Ann_short_9	Ann_short_10
520083B1	32.7802404072112	33.191625542273	33.3236836098466	33.3121899514093	33.3221385261643	33.2566223952523	32.7701985092987	32.8251598412284	32.0560021712362	31.5694184310046
520084B1	31.5001185174854	31.9126176032968	32.1337587814319	32.1973114634919	32.2600708384573	32.2938818364066	31.8751664368972	32.052016644681	31.8431498648803	31.7320102078
520085B1	30.8676543510039	31.4100688748303	31.5417864836208	31.6254348976293	31.7015590647258	31.7122607098251	31.3487090896378	31.3739302289848	31.1595651447172	30.9191410217605
620087B1	31.8905743213552	32.4917512608626	32.683185223044	32.8090323857759	32.8700873615719	32.9544517657627	32.5025029848602	32.5752234116467	32.4813975629919	32.3111307358629
620088B1	30.7717563933647	31.3102551091166	31.5128072192856	31.6391398152119	31.6832223513071	31.6955228153794	31.3035274315492	31.4292584377844	31.4023773438456	31.2657395560947
620121B1	33.0695603161051	33.7446181898284	33.9076998735659	34.0209659211022	34.1580659318935	34.3193897989346	33.8058330253714	33.8886190240471	33.8827902614364	33.7502370029104
620122B1	32.9105024215405	33.2907680500759	33.4311325234848	33.4768247882519	33.5005682530822	33.6046157305757	33.1342295593469	33.2220953888228	33.1096469173523	32.9445191582378
620123B1	32.8146413830373	33.2219745309141	33.3779477615248	33.4321119922864	33.4981200789242	33.5735898788788	33.0934540913637	33.1637291556172	33.0761753514329	32.8412902495332
620124B1	31.0969466826703	31.6901345720219	31.8189607070708	31.8989135031112	31.8886329567874	31.9324929683314	31.3959220526456	31.5920298261024	31.2555527660241	31.0698947101997
620125B1	31.4260491843419	32.0089245850068	32.1348095556741	32.173824092485	32.1154132213399	32.1136639961068	31.5885475067414	31.6875535601244	31.0026795818569	30.5621545980204
620126B1	32.689323165248	33.1790752605734	33.343190992102	33.4078252705399	33.4810584838632	33.577561765651	33.1461327219063	33.2058992044084	33.1746432385405	32.9804914562151
620127B1	32.7100050954801	33.1839150069669	33.3164994001373	33.3947729652705	33.4293443941493	33.5582679478671	33.0866011701233	33.161694751564	33.0374224898656	32.8635663224592
620128B1	33.8394685104464	34.2719222069129	34.3982543001013	34.3798087199258	34.3549776541156	34.4325061852234	33.8724731774512	33.8901538577081	33.2372155805784	32.6790804686798
620129B1	31.2366327906614	31.7087430273933	31.8301324404538	31.9702931501726	31.9739426911039	32.0503343260316	31.7210607456275	31.8335509221929	31.8207294582012	31.7381322670898
620130B1	29.7255782143451	30.1263581488961	30.0384685584164	30.1438787530966	29.895509080989	29.9629800193777	29.7871166985289	29.2206355308683	29.024165212362	28.5226342254018
620089B1	32.8017887809653	33.2767752735241	33.4189762553362	33.5220130629066	33.6217852120517	33.7358630090786	33.3057514978847	33.29535712366	33.3168196428021	33.0381134264193
620090B1	31.3847105692978	31.7778817011371	31.9496004112845	32.0337360565172	32.0124837520526	32.1055186560646	31.7840214890915	31.6510904034345	31.7994685144174	31.569683042316
620091B1	31.1867447067839	31.6414479507674	31.8453233295223	31.867559159262	31.853015845943	31.8572220408018	31.5471826732684	31.5989811082645	31.5305052626348	31.3039044327917
620092B1	31.4124849628575	31.8147107834565	32.0089532269317	32.0359081790615	31.9989653278378	31.9845340138174	31.6305115316304	31.7192382503569	31.3127705852826	31.0243850327734
310001T1	33.0075907999558	33.3588830189408	33.4806939723691	33.4338574977121	33.4880966706226	33.4993774134301	33.0694371975716	33.1910155420004	33.0120510753716	32.7532300927177
310002T1	33.0467341734476	33.4142613513184	33.5710377968815	33.6425482031898	33.6701068924973	33.7117461186991	33.3133204942074	33.4077357130075	33.1367766654533	32.8721473590871
310003T1	32.726035205299	33.0703346443314	33.2118220006086	33.1711170173797	33.2169187947468	33.2777980134303	32.7815867674829	32.8708543029976	32.7169219560826	32.4482835333852
310004T1	32.642105979016	33.0952852070564	33.2873084099335	33.3323216705449	33.363816966157	33.4617405769494	32.9794570546778	32.9239349510034	32.6548269218219	32.3239358002812
310005T1	33.1965608723735	33.5244881386692	33.6398676024814	33.5362830380053	33.5856496670527	33.626632806451	33.1660999017912	33.2344385766879	33.0365660632794	32.7521960083992
310006T1	32.5633708696236	33.0046716842404	33.1869941011521	33.1871010227807	33.1985493266138	33.2155259911985	32.7083035947758	32.737125439802	32.447676906756	32.1499972309582
310007T1	32.2125567710757	32.5716332780054	32.7193878053945	32.6983089121241	32.7228515907513	32.7512444227824	32.2327000377327	32.3222969028421	32.0033585273972	31.7990677391131
310008T1	32.2971391841569	32.6629091838578	32.8278783083726	32.8572756998639	32.8548425415114	32.9027522083958	32.4346967946516	32.5212872180729	32.2196205146838	31.9931335719339
310009T1	33.5695801654007	34.0146862555975	34.1904400464395	34.2773979780843	34.3492829558459	34.4583035175142	33.9516852269212	33.9713904983538	33.8379710905772	33.6250518717066
310010T1	33.6057884285279	34.0958289420709	34.2709018711206	34.306529478378	34.4050070547728	34.561717425815	34.0372313425846	34.1308110794751	34.1238683120565	34.0035487429156
310011T1	33.2309554822545	33.7661531750373	33.978042472222	34.0827282103648	34.1733288580299	34.2704298236191	33.7812139990864	33.8553121827371	33.6685419719257	33.4507881866763
310012T1	32.8999203685135	33.3947224884616	33.6322023048249	33.7518248529632	33.8049191775392	33.9014584246379	33.4610964098879	33.5129284943615	33.3683767675593	33.2105886964629
310013T1	33.1508505523212	33.6156766329219	33.789824099529	33.8784279185938	33.9465793036606	34.0745018514172	33.6170358990954	33.695297263856	33.5960700057367	33.4382308417454
310014T1	32.9470271806861	33.3002610281482	33.437172919883	33.4953337319686	33.4667839877101	33.553286244639	33.1370328346336	33.2052080467692	33.0618302582398	32.8391297655095
310015T1	32.8312559146574	33.1534506037255	33.278887239741	33.2543260381167	33.2771651086152	33.2596488964181	32.7733854609608	32.9193647520648	32.7391915349701	32.5535082764312
310016T1	31.9692013137327	32.4286064440177	32.613733290252	32.730007454987	32.7190150541034	32.7662543849021	32.35608687583	32.4731561081939	32.2810434032102	31.9984235891201
320001D1	32.8869914488191	33.0305397824554	33.0690086664505	33.2299039496922	33.1209833309929	33.2210220865322	33.0280375088104	32.7549253485526	33.0185713333496	32.7120949905244
320002D1	32.5579050308142	32.6539220114272	32.6781255747495	32.8335635213455	32.6761391084302	32.7926852941629	32.6021457305063	32.3547593699699	32.6499380585011	32.3783754692742
320003D1	32.5195218418859	32.686564021132	32.7357665976891	32.9183229132233	32.7254037331055	32.8537987813092	32.7069167911514	32.3852841449234	32.632483245562	32.3070463342299
