id	Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
220028B1	28.9766456212591	28.5861542910813	28.0451701683247	27.1331512911224	26.0831469835253	25.044944094627	24.0970174390638	23.8735565674281	21.530087007784	20.8468448791584
220029B1	26.7096456988595	26.2402550279931	25.8076276416203	24.8201962454606	23.70826954737	22.6465158452862	21.6544648336891	21.5546247553722	19.5299420230936	18.9498497133649
220030B1	26.8172649426636	26.1347301556921	25.682562831412	24.618772168646	23.8468485153924	22.6645386667886	21.4404129558892	21.5240615928513	19.6484015626812	19.4072647856902
220031B1	27.8309254922473	27.3923116779321	27.0063362770911	26.0757144128716	25.109024852816	23.791196013812	23.4093020346185	23.084010351803	21.0431001284823	20.264902871675
320038B1	31.5390144790068	31.2418181069235	30.818122633316	29.8315167934606	28.9194794735614	27.8417158558083	26.9777443354817	26.7305809428719	24.5952832218989	23.7917234360309
320039B1	31.9709160522015	31.5287488111065	31.1889840571139	30.150100573556	29.1986504387687	28.0691223624956	27.2175194148056	27.0586936160351	24.6860368924945	24.0394649712251
320040B1	32.2724618111297	31.957552195815	31.5155223258504	30.4745723852666	29.4710855969905	28.2790787719759	27.4029282980183	27.2483460538537	24.6026429898718	23.6170953550987
320041B1	32.8457200855709	32.5681356618144	32.1740312891308	31.2005686973435	30.2569361943851	29.2341473621216	28.3509896606203	28.1635702168879	26.0370415913681	25.2548708610497
320042B1	31.0191971518626	30.6993151383331	30.3137127509215	29.2335251500347	28.3644383873522	27.1732153681813	26.2548239202387	26.1816008525929	23.3874789841021	22.3903227183478
320043B1	33.1178762903978	32.8606216925918	32.4798626301738	31.5735614755379	30.6689293139121	29.7762857071536	29.0091975193905	28.844050552191	26.98166763896	26.3422128366233
320044B1	31.575988201809	31.1531115749836	30.7416878897367	29.6910898619181	28.7851738551408	27.6727986241683	26.7784632458079	26.6005838959328	24.2063505903491	23.3176023284472
320045B1	30.4311653508139	30.221068244335	29.851828553429	29.0686003335419	28.0571048329764	27.0551813287252	26.4497529342773	26.1723795904404	24.4321258083075	23.8994427185791
320046B1	30.677032817601	30.3958608897974	30.0188754635988	29.0650546747013	28.1659990280043	27.0990442441317	26.3136743892432	26.0638438254936	23.9460488070797	23.4412701167474
320047B1	31.4071753536644	31.3058014930194	30.8002696264905	29.8638231209973	28.7713260779747	27.8939860656267	27.2516710833897	26.3024124671687	24.2621279649681	23.497124417873
320048B1	31.9597336473423	31.6203900899362	31.2094697234593	30.2657006251155	29.2606694233992	28.1637953959338	27.4008386031723	27.1758936057122	25.0002067288894	24.4973938203852
320049B1	31.2445932919197	30.9294923456858	30.5185953412603	29.6024617136049	28.6320933604443	27.6373088611728	26.7909245356382	26.516508433906	24.2157862987514	23.3063712439016
320050B1	32.7543883253472	32.4655524728355	32.0569455812353	31.1042131832054	30.2314854449444	29.2605952161886	28.507168046777	28.4968773819257	26.4467506704781	25.7342868982461
320051B1	33.2328861311402	32.9553273251084	32.5062826853024	31.5068609282901	30.558230038485	29.5389328479484	28.6029420162173	28.5284972707533	26.2348048706582	25.5688012973448
320052B1	31.2234587096627	30.8751992642875	30.4238293213874	29.4372121978448	28.4796489003132	27.371397716074	26.5191074927369	26.3332833840379	24.0117344662913	23.0161283260047
320053B1	31.200549100974	30.7866715729505	30.3099975609143	29.3024463192425	28.2059180339524	27.0895206049616	26.2027497451721	25.9363895390851	23.7220063548397	22.8889432241473
420054B1	32.1974033434457	31.9102958199375	31.4950107985051	30.5743101681045	29.5866337681045	28.5507554185704	27.7922264293989	27.6163879678469	25.2110558984807	24.5234573818459
420055B1	31.518760076854	31.2239636753723	30.8254999066965	29.8440230340225	28.9401024179519	27.9185435650487	27.0942230172677	26.9838643071476	24.9283858605286	24.1873101333294
420056B1	31.5923444475068	31.25844871731	30.8735967939988	29.977860402382	29.0275386069629	27.9229107991922	27.1801859203021	27.0403225905982	24.8405415235894	24.2315595510111
420057B1	32.4545791184154	32.1975464435601	31.7680799642412	30.7941854241372	29.8452582770419	28.8071324688889	27.9318245188089	27.6881006247524	25.3938317163647	24.6500050514799
420058B1	29.2313489721827	28.8987417147515	28.4517422992274	27.5379726416063	26.493706970036	25.3144356803483	24.6966186610555	24.3989956726582	22.4912396459298	21.6216609838491
420059B1	30.5437459552052	30.2733599908682	30.0163703858544	29.100147419848	28.2279712095786	27.2285667829345	26.8527611580416	26.7656527549005	25.3864434272663	24.6783466722715
420060B1	30.6265793089774	30.3904802854306	29.9658997718811	29.0387994383644	28.1489946532688	27.078870333493	26.28381144077	26.1270192560732	24.0188651997651	23.0890469782645
420061B1	30.8356386458703	30.4624237158176	30.0515610896285	29.0786020441807	28.1257753158241	27.0278192340131	26.0401453614922	26.1254311578892	23.4654384724517	22.6679188887112
420062B1	31.7236470994859	31.306787974753	30.8928677696529	29.8511238980251	28.9253356756399	27.8638695203879	26.9083891952494	26.8345049809704	24.3159811879053	23.7155472042012
