Ann_long_1	Ann_long_2	Ann_long_3	Ann_long_4	Ann_long_5	Ann_long_6	Ann_long_7	Ann_long_8	Ann_long_9	Ann_long_10
930006D1	33.8015238121379	33.7307295563068	33.4052925050416	32.6704751183771	31.7896259804633	31.0713921466108	30.6631815140155	30.480168744284	28.6417978300078	27.4264762862552
930007D1	34.9774668462945	34.8369013819072	34.5235319827335	33.9221110242529	33.2694417212914	32.8980920540021	32.7224818149932	32.1128779388615	30.8865460513059	29.4136563217824
930008D1	30.6408678220363	30.2713391016654	30.0139421182504	29.3321666186962	28.4680966700223	27.7579265426604	27.4149652891298	27.1136738539611	25.7586631202247	25.1642720358269
930009D1	33.8292958752612	33.8160436615746	33.4944599330862	32.7752997772039	31.9083755734793	31.2106687118687	30.7206705917451	30.2510804799306	28.6707250952451	27.80836847627
930010D1	32.8453462214139	32.7564482562977	32.2591103427316	31.3592018847266	30.2202525325	29.5005704108307	29.0104205262839	27.7275804484775	25.516794101322	24.3707482722232
310167T3	29.0563361051466	28.7777844667458	28.5588723885128	27.9110900810784	27.3291253807552	26.6891018225186	26.2776209751614	25.9835044048401	25.3135747186796	24.8116152658243
310168T3	29.9269824215493	29.7680815268761	29.4419777484249	28.7210844093883	27.9433473926918	27.2502878748672	27.0033055169559	26.4606302672014	25.0372703189914	24.0885047943012
310169T3	30.3475743498834	30.1724226314195	30.0077407666324	29.284664170817	28.7285559256928	28.2352269246023	27.816502893765	27.5823192901286	26.4898430897486	25.6349105422158
310144T3	27.4726651846737	26.6939332588357	26.3487227562578	24.9533434196457	24.0356484460026	23.1607335042044	22.4084769866217	21.8318425201577	20.4953582842056	19.5352051059259
310336T3	26.5202832049064	25.9046438323712	25.4910020491687	25.0183454074186	24.1073656004672	23.3873415275219	23.1749374918816	22.5846572834024	21.3661233532531	20.1146144732714
310172T3	25.85638107293	25.3747463866972	24.8584759472557	23.9706423991148	23.5651830629765	22.9998294159884	22.8399458342306	22.2079398334603	20.5367231907017	19.8198233414229
310055T3	25.4784630292118	24.656678697512	24.4009069869476	23.8569165530648	23.1205396488038	22.2748416809649	22.5091226170875	21.9491966973933	20.6162392332036	19.7534317534352
310054T3	24.7259844356743	24.0133090637803	23.6288870753762	22.7818528746349	22.5861296756521	22.0391617566486	21.1970265139545	21.3297302229173	20.1695063795943	19.3705403912979
310030T3	24.7517475317394	24.2777589236378	23.7019875591495	22.9707777627357	22.1840830966157	21.2148297061662	21.4916025856724	19.9792167255743	19.6131812532155	18.7375186527946
310194T3	25.1312409141605	24.3044603709968	24.1591521011576	23.2007983315753	22.0528558476931	21.68189893943	21.4916025856724	21.1963735217676	19.8217447717638	19.3705403912979
310076T3	24.5314814115113	23.6517567834545	23.5120411375735	23.1700158673246	21.3711079870265	21.0415300598968	21.2427916429967	20.0795125832445	19.372102662106	19.3705403912979
310170T3	24.6730355557253	24.1946803652056	23.6288870753762	23.1700158673246	22.5205673223223	21.4661211262925	20.944780502848	20.3459600068554	19.372102662106	18.2946193900725
310146T3	23.1410219349531	22.5581658649569	22.3429707122241	20.8536129772931	20.3966530711087	20.0436148907436	20.0802888987588	19.4954609602312	18.295032872852	18.6025088320117
310323T3	23.9088484928241	22.9957968801838	22.3429707122241	21.9408998115466	21.1386273567221	20.156378300734	20.0802888987588	20.3459600068554	19.685875040344	19.5352051059259
310174T3	24.1603872598201	22.9311506274402	22.9825516414691	22.3132634895421	21.5725191803207	21.2684969030015	20.7704088123262	20.7067963828209	19.8217447717638	19.0855317429797
310173T3	25.3494210842101	24.9759677844208	25.0579225044783	23.9887870926472	23.1865465308355	22.2748416809649	21.6715951301269	21.1963735217676	19.1877993505134	18.6025088320117
310313T3	25.9371931185181	25.534536795124	25.0863684221653	24.4508971394193	23.7829578491228	23.0333978138589	22.7431044328338	22.0841107620402	21.0220683685015	19.5352051059259
310040T3	25.6110486688296	25.2948363877488	24.953854383228	24.0244320130399	23.2079207662262	22.5026430231035	21.8625890107414	20.5725784744982	19.9466073555441	19.3705403912979
310257T3	25.4153843465884	24.7772763875767	24.8419686624544	23.8957895350205	22.8769264650392	22.2472963079975	22.4084769866217	21.6710202330298	20.5769982974676	19.7534317534352
310192T3	25.9814171187747	25.2810943065935	24.8083951532657	24.8246126798306	23.7238856718511	23.2923176315216	22.9455790969711	22.4080376575702	21.7045319504803	20.0600060034161
310031T3	25.4784630292118	24.2777589236378	24.18517045378	23.4526858695461	22.5537052795912	21.2684969030015	20.7075171485731	20.7696958035368	18.7384560363038	19.2811814772843
310287T3	26.27586447724	26.0847209107263	26.0779923239666	25.9051126347911	25.3318131217123	25.0364549882432	24.8633200223602	24.9581558922806	24.8681972342666	24.7746234324613
310304T3	31.4545178379634	30.6777021949253	30.229169545963	29.2920707730576	28.4480632051306	27.7742401131326	27.4699831191127	26.8033488803877	25.7781461412723	24.9644300325135
310282T3	31.771264459292	31.7514643246373	31.554825258586	30.6376562551138	29.9967018817807	29.093708818078	28.3701751209854	27.9709666382177	24.5871177167888	23.6601819928905
